gene,eqZ,wbZ,ntZ,multiZ
ENSG00000009844,-2.99224,-0.532626,,
ENSG00000009954,-0.964507,,,
ENSG00000010017,-1.43336,,,
ENSG00000010030,-2.35271,,0.408366,
ENSG00000010072,-5.19973,,,
ENSG00000010165,1.86174,,-0.510283,
ENSG00000010219,-3.86732,-1.94637,1.53229,-0.292796
ENSG00000010270,2.08808,-0.163432,,
ENSG00000010278,0.682316,0.489917,,
ENSG00000010282,-1.25449,,,
ENSG00000010292,1.8162,0.144744,0.247623,0.277445
ENSG00000010295,0.680049,,,
ENSG00000010310,-0.800326,1.05205,,
ENSG00000010319,-0.528544,,,
ENSG00000010322,4.48495,,,
ENSG00000010327,6.72772,,,
ENSG00000010361,0.785125,-0.00182663,0.82119,0.579378
ENSG00000010379,0.975619,,0.0479583,
ENSG00000010438,0.185951,,,
ENSG00000010539,-1.0904,,,
ENSG00000010610,-2.63133,-0.435318,,
ENSG00000010626,2.93145,1.28042,,
ENSG00000010704,-2.68518,,3.81785,
ENSG00000010803,2.21104,,-0.0767079,
ENSG00000011007,0.116654,,,
ENSG00000011021,-2.57531,-1.73326,,
ENSG00000011105,1.77479,,0.891522,
ENSG00000011114,-4.1129,,,
ENSG00000011132,0.316652,0.213957,,
ENSG00000011198,-2.12282,,,
ENSG00000011243,0.282188,,,
ENSG00000011260,-0.308335,0.960696,-1.73657,-0.548629
ENSG00000011275,-1.99348,,,
ENSG00000011295,-1.50997,,,
ENSG00000011376,1.41448,,-0.459485,
ENSG00000011422,1.36519,,,
ENSG00000011426,-3.06945,,-2.22032,
ENSG00000011454,-1.75622,,1.50008,
ENSG00000011478,-2.75613,,,
ENSG00000011485,2.48432,0.570763,-1.17611,-0.428047
ENSG00000011523,-0.962299,,,
ENSG00000011590,0.870408,,,
ENSG00000011600,1.8268,,0.280026,
ENSG00000011638,0.169518,0.259076,,
ENSG00000012061,-4.20393,,,
ENSG00000012124,0.590967,,,
ENSG00000012171,1.73974,-0.61104,-0.881321,-1.05526
ENSG00000012232,0.938009,,,
ENSG00000012660,3.2268,1.77497,-0.273692,1.06156
ENSG00000012779,-0.716295,,,
ENSG00000012822,-1.18951,,,
ENSG00000012963,1.84791,,,
ENSG00000012983,3.65401,,0.599443,
ENSG00000013016,-0.783982,-0.665371,-0.556339,-0.86388
ENSG00000013275,0.976722,,,
ENSG00000013288,-1.02076,1.81632,,
ENSG00000013306,0.896831,1.17158,-1.41073,-0.169104
ENSG00000013364,-3.10456,,,
ENSG00000013374,2.01902,,-1.19483,
