gene,eqZ,wbZ,ntZ,multiZ
ENSG00000008517,-0.581107,-1.50939,0.380085,-0.798539
ENSG00000008735,-5.32814,-1.23073,1.85787,0.443454
ENSG00000008838,1.43357,-0.723492,0.381931,-0.24152
ENSG00000008853,0.431407,-2.4374,-0.620739,-2.16243
ENSG00000008869,-0.0855236,-4.04961,-3.10357,-5.05807
ENSG00000008988,-0.0900344,0.235834,-0.787303,-0.389947
ENSG00000009724,-0.221163,0.972705,-1.99874,-0.725519
ENSG00000009790,0.792059,-0.0805497,0.811517,0.516872
ENSG00000009830,-0.879485,-0.702423,-0.498076,-0.848881
ENSG00000009954,-1.73123,-1.3887,-1.3887,-1.96392
ENSG00000010017,0.771352,1.40176,-0.63325,0.54342
ENSG00000010165,0.795249,0.884999,-0.816444,0.0484754
ENSG00000010219,-2.19547,-2.56461,1.86178,-0.496976
ENSG00000010270,0.620402,-0.112285,0.307407,0.137972
ENSG00000010278,0.985946,0.751892,-0.881567,-0.0916941
ENSG00000010282,-0.563922,-0.250275,-0.479697,-0.516169
ENSG00000010292,0.70426,-0.359548,-0.145866,-0.357382
ENSG00000010295,0.40063,0.0204061,-0.152947,-0.0937202
ENSG00000010319,7.70744,0.860018,0.860018,1.21625
ENSG00000010322,10.0819,-0.186334,-0.186334,-0.263517
ENSG00000010327,8.34944,2.63953,2.63953,3.73286
ENSG00000010361,-2.38343,-0.424711,0.90895,0.342409
ENSG00000010379,0.705987,1.57263,0.61921,1.54987
ENSG00000010438,0.542037,0.168124,3.20784,2.38717
ENSG00000010539,-0.581904,-1.44218,1.4565,0.0101255
ENSG00000010610,-1.95048,-1.03815,1.25815,0.155563
ENSG00000010626,2.32338,1.33007,0.938277,1.60396
ENSG00000010704,1.24671,3.97847,3.99312,5.63677
ENSG00000011021,-1.93769,-1.89927,-1.29248,-2.25691
ENSG00000011114,-3.43605,-0.315365,-0.553498,-0.614379
ENSG00000011132,0.0742785,0.29146,-0.229274,0.0439716
ENSG00000011198,-2.25656,-1.299,-1.299,-1.83706
ENSG00000011260,-1.68934,0.640683,-1.89497,-0.886914
ENSG00000011376,-0.895794,-0.499935,-0.333685,-0.589459
ENSG00000011422,1.14053,0.915324,-0.915324,-7.85046e-17
ENSG00000011426,-2.23203,1.93405,-2.36171,-0.302401
ENSG00000011454,0.458466,1.98461,1.77141,2.65591
ENSG00000011478,-2.43979,-0.958174,-0.958174,-1.35506
ENSG00000011485,0.572493,0.574135,-0.846007,-0.192243
ENSG00000011590,0.513344,1.43282,2.19555,2.56564
ENSG00000011600,-0.21624,0.112293,0.633178,0.527127
ENSG00000011638,-0.681868,-0.0283885,-1.04518,-0.759127
