GWAS,Weight source,Cases,Controls,N_e,S_PrediXcan_Z,P,n_snps_used,n_snps_in_model
FinnGen R13 DR,eQTLGen whole blood,15353,62519,49304,2.3091,0.0209358,726,898
UKB GCST90043640,eQTLGen whole blood,308,456040,1231,0.7225,0.469957,854,898
UKB GCST90043640,GTEx v8 MASHR Nerve_Tibial,308,456040,1231,0.5451,0.585687,4,4
UKB GCST90043640,GTEx v8 MASHR Whole_Blood,308,456040,1231,0.4165,0.677041,3,3
